TEAM,Predicted_Post_Season_Score
Duke,5.594651768931063
Michigan,6.34280655613822
Arizona,5.514538081235408
Florida,4.840638141616813
Houston,3.5554825730859534
Iowa St.,4.384217130120288
Purdue,3.425296927509243
Connecticut,4.919858056125377
Illinois,5.68128245694795
Gonzaga,2.842553215075997
Michigan St.,3.1051788313873163
Virginia,4.114844464591896
Alabama,3.308061119888459
Arkansas,2.716025649078874
Nebraska,2.172926487376611
Kansas,2.2790089662267947
Vanderbilt,3.4274490315396164
Texas Tech,3.1423480510290793
St. John's,2.611849906112012
Wisconsin,1.506399785080261
Tennessee,1.2589846178248036
Louisville,1.4876300452453255
North Carolina,2.8705091387514203
BYU,1.9296132360197682
UCLA,2.0003409897147675
Saint Mary's,1.7894595156266486
Kentucky,1.018800546259154
Miami FL,1.3164078358154294
Ohio St.,1.3867421408527907
Clemson,1.729898977621119
Villanova,1.0381353439482528
Georgia,1.8821771470180233
Iowa,0.912802306973284
Utah St.,1.180363836016595
Saint Louis,0.8743829859818916
VCU,1.6439357542842803
Santa Clara,2.5140942546741005
Texas A&M,0.1618647911098371
Texas,1.500120927169927
UCF,0.6313149447855655
N.C. State,0.8515191329398392
SMU,0.9618521135344064
San Diego St.,2.2645804445785824
Baylor,0.3577176953296959
TCU,0.9570117704666665
South Florida,2.3830090169507154
Miami OH,1.9741068475644736
Northern Iowa,1.0132761412959175
Akron,1.2138211765438325
McNeese St.,0.9230740572912943
High Point,2.940814930511179
Hofstra,0.9141177504760455
Cal Baptist,1.1159990158364386
Hawaii,1.330503083628133
Troy,0.8001957653905678
North Dakota St.,2.3541370181108805
Wright St.,1.5739376249709531
Kennesaw St.,1.255745713891467
Penn,2.0997920065660978
Idaho,1.452791926773095
Furman,0.7249756060384697
Queens,0.7610001653760933
Tennessee St.,0.1999020247812832
UMBC,0.6995349190192763
Siena,0.6285152804089543
Howard,0.11084222529258556
LIU,0.6259903994515916
Prairie View A&M,1.2895311218801015
Lehigh,-0.23192959478159828
